儀器,2P敘述,4P敘述
雲無留蹟的過客,治療量提高 10% 。,在戰鬥開始時，立即為我方恢覆1個戰技點。
野穗伴行的快槍手,攻擊力提高 12% 。,使裝備者的速度提高 6% ，普攻造成的傷害提高 10% 。
淨庭教宗的聖騎士,防御力提高 15% 。,使裝備者提供的護盾量提高 20% 。
密林臥雪的獵人,冰屬性傷害提高 10% 。,當裝備者施放終結技時，暴擊傷害提高 25% ，持續 2 回合。
街頭出身的拳王,物理屬性傷害提高 10% 。,當裝備者施放攻擊或受到攻擊後，其在本場戰鬥中攻擊力提高 5% ，最多疊加 5 層。
戍衛風雪的鐵衛,受到傷害降低 8% 。,回合開始時，如果裝備者當前生命值百分比小於等於 50% ，則回覆等同於自身生命上限 8% 的生命值，並恢覆 5 點能量。
熔岩鍛鑄的火匠,火屬性傷害提高 10% 。,使裝備者戰技造成的傷害提高 12% ，並使施放終結技後的下一次攻擊造成的火屬性傷害提高 12% 。
繁星璀璨的天才,量子屬性傷害提高 10% 。,當裝備者對敵方目標造成傷害時，無視其 10% 的防御力。若目標擁有量子屬性弱點，額外無視其 10% 的防御力。
激奏雷電的樂隊,雷屬性傷害提高 10% 。,當裝備者施放戰技時，使裝備者的攻擊力提高 20% ，持續 1 回合。
晨昏交界的翔鷹,風屬性傷害提高 10% 。,當裝備者施放終結技後，使其行動提前 25% 。
流星追蹟的怪盜,擊破特攻提高 16% 。,使裝備者的擊破特攻提高 16% 。當裝備者擊破敵方目標弱點後，恢覆 3 點能量。
盜匪荒漠的廢土客,虛數屬性傷害提高 10% 。,裝備者對陷入負面效果的敵方目標造成傷害時暴擊率提高 10% ，對陷入禁錮狀態的敵方目標造成傷害時暴擊傷害提高 20% 。
寶命長存的蒔者,生命上限提高 12% 。,當裝備者受到攻擊或被我方目標消耗生命值後，暴擊率提高 8% ，持續 2 回合，該效果最多疊加 2 層。
駭域漫遊的信使,速度提高 6% 。,當裝備者對我方目標施放終結技時，我方全體速度提高 12% ，持續 1 回合，該效果無法疊加。
